Date,Open,High,Low,Close,Volume,Change
2023-03-06,51900,52100,50200,50400,279531,-0.01945525291828798
2023-03-07,50500,50500,48200,48200,368867,-0.04365079365079361
2023-03-08,47900,48600,47700,48250,178669,0.0010373443983402453
2023-03-09,48250,49300,48100,48550,337863,0.006217616580310947
2023-03-10,47950,48300,47300,47650,177013,-0.018537590113285263
2023-03-13,47600,48050,46700,47800,205253,0.0031479538300105414
2023-03-14,47300,47300,45050,45200,398113,-0.05439330543933052
2023-03-15,46000,46800,45700,45700,242457,0.01106194690265494
2023-03-16,45050,45350,44000,44650,275618,-0.022975929978118148
2023-03-17,44900,46750,44850,46600,286007,0.043673012318029114
2023-03-20,46500,46600,45000,45150,252636,-0.0311158798283262
2023-03-21,45650,46200,45000,45100,273600,-0.001107419712070845
2023-03-22,45650,45850,45150,45650,247038,0.012195121951219523
2023-03-23,45100,45300,44250,44950,384427,-0.01533406352683464
2023-03-24,45000,45400,44200,44500,185377,-0.010011123470522798
2023-03-27,44700,44700,44000,44550,132491,0.0011235955056179137
2023-03-28,44550,45250,44300,45150,219795,0.013468013468013407
2023-03-29,45200,46100,45000,45400,298648,0.005537098560354448
2023-03-30,45800,46300,45550,46000,236280,0.013215859030837107
2023-03-31,46300,46750,45300,45850,293036,-0.003260869565217428
2023-04-03,46350,47450,45950,46200,300700,0.007633587786259444
2023-04-04,46150,47600,45900,47250,428732,0.022727272727272707
2023-04-05,47300,47300,45500,46900,396608,-0.007407407407407418
2023-04-06,47100,47100,45400,45750,339951,-0.024520255863539453
2023-04-07,45800,46650,45450,46250,330485,0.010928961748633892
2023-04-10,46250,46350,45100,46000,296794,-0.00540540540540535
2023-04-11,45950,48000,45300,48000,576674,0.04347826086956519
2023-04-12,49150,49550,48300,49400,661908,0.029166666666666563
2023-04-13,49500,49500,47600,48550,338762,-0.01720647773279349
2023-04-14,49000,49000,47700,48000,262381,-0.011328527291452062
2023-04-17,48350,48350,47200,47800,248203,-0.004166666666666652
2023-04-18,47500,47700,46600,46900,324129,-0.01882845188284521
2023-04-19,46750,48000,46750,47850,256349,0.02025586353944564
2023-04-20,48300,48500,46600,46900,264046,-0.019853709508881878
2023-04-21,46600,46850,45400,46850,311323,-0.0010660980810234255
2023-04-24,47550,49300,47400,49000,734069,0.04589114194236932
2023-04-25,49300,50200,48350,49600,532879,0.012244897959183598
2023-04-26,49800,51100,47600,47750,547140,-0.037298387096774244
2023-04-27,47800,47800,46200,46250,330679,-0.03141361256544506
2023-04-28,46500,46700,45650,46250,226812,0.0
2023-05-02,46400,46900,46150,46750,137962,0.0108108108108107
2023-05-03,46450,46500,44500,44550,517397,-0.04705882352941182
2023-05-04,44550,44800,44400,44750,170391,0.004489337822671136
2023-05-08,45100,45800,45000,45250,254122,0.011173184357541999
2023-05-09,45250,45900,44700,45850,209014,0.013259668508287303
2023-05-10,45750,46600,45400,45850,237548,0.0
2023-05-11,46150,46850,45900,46100,171611,0.005452562704471031
2023-05-12,46050,46650,45400,46250,198781,0.0032537960954446277
2023-05-15,46050,46950,45900,46750,177853,0.0108108108108107
2023-05-16,46700,46700,45300,45700,200656,-0.022459893048128343
2023-05-17,45300,46400,45300,46250,150286,0.012035010940919078
2023-05-18,46700,47350,46650,47250,266360,0.021621621621621623
2023-05-19,47250,47550,46700,47400,198860,0.0031746031746031633
2023-05-22,47300,47800,47000,47450,212381,0.001054852320675037
2023-05-23,47950,48000,47200,47450,156569,0.0
2023-05-24,47200,48350,47000,48200,216033,0.015806111696522684
2023-05-25,47800,48200,47250,47300,170022,-0.018672199170124526
2023-05-26,47200,47850,46800,47500,160520,0.0042283298097252064
2023-05-30,48050,48050,46800,47700,187217,0.004210526315789442
2023-05-31,47800,49250,47800,48200,441634,0.01048218029350112
2023-06-01,48500,48950,47050,47100,196736,-0.022821576763485507
2023-06-02,47450,48100,47000,47750,176814,0.013800424628450214
2023-06-05,48200,48800,48100,48350,118888,0.012565445026178068
2023-06-07,48800,48800,47250,47300,239678,-0.02171664943123064
2023-06-08,47150,47550,46600,47100,223114,-0.0042283298097252064
2023-06-09,47350,47650,47000,47250,188114,0.0031847133757962887
