Open_time,Open,High,Low,Close,Volume,quote_av,trades,tb_base_av,tb_quote_av,Symbol
2019-09-09 02:00:00,10000.0,10000.0,10000.0,10000.0,0.002,20.0,2,0.001,10.0,BTCUSDT
2019-09-09 03:00:00,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0,0.0,0.0,BTCUSDT
2019-09-09 04:00:00,10344.77,10357.53,10337.43,10340.12,471.659,4879792.35614,562,0.0,0.0,BTCUSDT
2019-09-09 05:00:00,10340.12,10368.64,10334.54,10351.42,583.271,6037732.6259,731,0.034,351.97117,BTCUSDT
2019-09-09 06:00:00,10351.42,10391.9,10324.77,10391.9,689.759,7136798.50523,827,0.004,41.385,BTCUSDT
2019-09-09 07:00:00,10392.59,10412.65,10375.58,10375.58,675.394,7020272.87987,821,0.0,0.0,BTCUSDT
2019-09-09 08:00:00,10375.58,10392.25,10366.57,10391.63,676.206,7021684.08263,811,0.0,0.0,BTCUSDT
2019-09-09 09:00:00,10391.63,10391.63,10391.63,10391.63,0.0,0.0,0,0.0,0.0,BTCUSDT
2019-09-09 10:00:00,10391.63,10391.63,10391.63,10391.63,0.0,0.0,0,0.0,0.0,BTCUSDT
2019-09-09 11:00:00,10316.62,10316.65,10294.29,10296.04,96.462,994913.5783,112,0.0,0.0,BTCUSDT
2019-09-09 12:00:00,10295.81,10316.68,10267.37,10297.89,682.987,7035936.52531,789,0.0,0.0,BTCUSDT
2019-09-09 13:00:00,10297.89,10316.33,10251.51,10316.3,680.278,6998829.86825,800,0.0,0.0,BTCUSDT
2019-09-09 14:00:00,10316.3,10316.34,10299.8,10304.32,671.524,6923746.52835,838,0.001,10.30921,BTCUSDT
2019-09-09 15:00:00,10304.32,10305.51,10252.36,10256.09,680.52,7000049.21327,787,0.0,0.0,BTCUSDT
2019-09-09 16:00:00,10260.16,10273.71,10092.71,10149.47,632.467,6444656.97444,694,0.0,0.0,BTCUSDT
2019-09-09 17:00:00,10149.47,10170.74,10077.22,10147.84,1160.043,11767567.60192,1376,0.001,10.1569,BTCUSDT
2019-09-09 18:00:00,10147.84,10267.74,10143.68,10248.89,274.673,2797795.41903,311,0.0,0.0,BTCUSDT
2019-09-09 19:00:00,10249.57,10256.18,10196.76,10253.25,384.383,3930827.3419,347,0.0,0.0,BTCUSDT
2019-09-09 20:00:00,10247.69,10475.54,10222.75,10414.6,647.386,6717546.96884,390,280.131,2915757.25034,BTCUSDT
2019-09-09 21:00:00,10411.7,10411.7,10349.89,10356.75,844.568,8773026.60503,427,416.569,4327214.58884,BTCUSDT
2019-09-09 22:00:00,10356.61,10389.12,10317.61,10322.37,872.928,9033564.90308,443,463.508,4796854.37502,BTCUSDT
2019-09-09 23:00:00,10327.06,10363.82,10302.69,10337.55,830.825,8584177.19507,448,439.674,4543496.34973,BTCUSDT
2019-09-10 00:00:00,10333.86,10363.66,10308.84,10314.26,837.694,8652721.08945,420,434.72,4490888.96877,BTCUSDT
2019-09-10 01:00:00,10314.26,10333.55,10183.31,10255.44,1126.982,11563066.75109,506,748.411,7678996.67702,BTCUSDT
2019-09-10 02:00:00,10253.31,10296.3,10235.3,10263.33,913.252,9373905.81204,451,500.499,5138046.72137,BTCUSDT
2019-09-10 03:00:00,10261.38,10288.82,10250.56,10255.58,918.219,9428893.62252,486,448.156,4602554.73895,BTCUSDT
2019-09-10 04:00:00,10255.58,10323.13,10237.17,10308.87,956.876,9824621.27309,474,557.724,5727151.87261,BTCUSDT
2019-09-10 05:00:00,10307.8,10420.65,10228.28,10233.85,726.047,7476354.55643,337,332.034,3418940.66818,BTCUSDT
2019-09-10 06:00:00,10229.48,10343.79,10229.48,10289.48,516.808,5308976.2519,366,480.554,4937457.99994,BTCUSDT
2019-09-10 07:00:00,10289.48,10358.69,10289.48,10358.69,296.634,3062996.26917,268,296.634,3062996.26917,BTCUSDT
2019-09-10 08:00:00,10347.5,10382.64,10304.8,10307.0,72.817,753035.22305,226,53.835,557018.27586,BTCUSDT
